Time,Temperature,Humidity,Soil,CSI
2026-02-04 14:51:14.859339,26.0,79.5,0.0,0.33
2026-02-04 14:51:18.039343,26.0,79.5,0.0,0.33
2026-02-04 14:51:21.550410,25.9,79.8,0.0,0.33
2026-02-04 14:51:24.204576,26.0,80.0,0.0,0.33
2026-02-04 14:51:26.964834,26.0,80.2,0.0,0.33
2026-02-04 14:51:29.828838,26.0,80.2,0.0,0.33
2026-02-04 14:51:33.110608,25.9,80.1,0.0,0.33
2026-02-04 14:51:35.976805,26.0,80.0,0.0,0.33
2026-02-04 14:51:38.951408,25.9,80.1,0.0,0.33
2026-02-04 14:51:41.816411,26.0,80.0,0.0,0.33
2026-02-04 14:51:44.780486,25.9,80.0,0.0,0.33
2026-02-04 14:51:47.846099,25.9,80.0,0.0,0.33
2026-02-04 14:51:50.826082,25.9,80.0,0.0,0.33
2026-02-04 14:51:53.795003,25.9,80.0,0.0,0.33
2026-02-04 14:51:56.866495,25.9,80.0,0.0,0.33
2026-02-04 14:52:00.412647,26.0,80.0,0.0,0.33
2026-02-04 14:52:03.420071,25.9,80.1,0.0,0.33
2026-02-04 14:52:06.252682,25.9,80.1,0.0,0.33
2026-02-04 14:52:08.860663,25.9,80.2,0.0,0.33
2026-02-04 14:52:11.921646,25.9,80.3,0.0,0.33
2026-02-04 14:52:14.992663,25.9,80.4,0.0,0.33
2026-02-04 14:52:17.827742,25.9,80.4,0.0,0.33
2026-02-04 14:52:39.349653,25.9,80.7,0.0,0.33
2026-02-04 14:52:42.336072,25.9,80.8,0.0,0.33
2026-02-04 14:52:45.203136,25.9,80.8,0.0,0.33
2026-02-04 14:52:48.280940,25.9,80.9,0.0,0.33
2026-02-04 14:52:51.135469,25.9,81.0,0.0,0.33
2026-02-04 14:52:54.213855,25.9,81.0,0.0,0.33
2026-02-04 14:52:57.179284,25.9,81.0,0.0,0.33
2026-02-04 14:53:00.171913,25.9,81.0,0.0,0.33
2026-02-04 14:53:03.146453,25.9,81.0,0.0,0.33
2026-02-04 14:53:06.198297,25.9,81.1,0.0,0.33
2026-02-04 14:53:09.164416,25.9,81.0,0.0,0.33
2026-02-04 14:53:12.232357,25.9,81.1,0.0,0.33
2026-02-04 14:53:15.202105,25.9,81.2,0.0,0.33
2026-02-04 14:53:18.277836,25.9,81.2,0.0,0.33
2026-02-04 14:53:21.252061,25.9,81.1,0.0,0.33
2026-02-04 14:53:48.781582,25.9,81.2,0.0,0.33
2026-02-04 14:53:51.762634,25.8,81.5,0.0,0.33
2026-02-04 14:53:54.848172,25.8,81.5,0.0,0.33
2026-02-04 14:53:57.817410,25.8,81.5,0.0,0.33
2026-02-04 14:54:00.757638,25.8,81.6,0.0,0.33
2026-02-04 14:54:03.845972,25.8,81.6,0.0,0.33
2026-02-04 14:54:06.678692,25.9,81.6,0.0,0.33
2026-02-04 14:54:09.782995,25.8,81.6,0.0,0.33
2026-02-04 14:54:12.754923,25.8,81.7,0.0,0.33
2026-02-04 14:54:15.721256,25.8,81.7,0.0,0.33
2026-02-04 14:54:18.795390,25.8,81.7,0.0,0.33
2026-02-04 14:54:21.768166,25.8,81.7,0.0,0.33
2026-02-04 14:54:24.772662,25.8,81.7,0.0,0.33
2026-02-04 14:54:27.703631,25.9,82.2,0.0,0.33
2026-02-04 14:54:30.875262,26.8,87.0,0.0,0.33
2026-02-04 14:54:33.747893,27.5,88.2,0.0,0.33
2026-02-04 14:54:36.921859,27.9,88.8,0.0,0.33
2026-02-04 14:54:39.785847,29.3,97.1,0.0,0.33
2026-02-04 14:54:42.962878,34.0,98.1,0.0,0.33
2026-02-04 14:54:45.834760,38.8,95.4,0.0,0.67
2026-02-04 14:54:48.988769,42.4,81.7,0.0,0.67
2026-02-04 14:54:51.769840,44.5,68.7,0.0,0.67
2026-02-04 14:54:55.023401,45.8,59.3,0.0,0.67
2026-02-04 14:54:58.077595,46.4,52.7,0.0,0.67
2026-02-04 14:55:00.780078,46.6,48.5,0.0,0.67
2026-02-04 14:55:03.785434,46.6,45.7,0.0,0.67
2026-02-04 14:55:06.725478,46.4,44.1,0.0,0.67
2026-02-04 14:55:09.718680,46.1,43.0,0.0,0.67
2026-02-04 14:55:12.864484,45.8,42.4,0.0,0.67
2026-02-04 14:55:15.731264,45.3,42.1,0.0,0.67
2026-02-04 14:55:18.658661,44.8,42.0,0.0,0.67
2026-02-04 14:55:21.875802,44.3,42.1,0.0,0.67
2026-02-04 14:55:24.847069,43.7,42.3,0.0,0.67
2026-02-04 14:55:27.708829,43.2,42.5,0.0,0.67
2026-02-04 14:55:31.011451,42.7,42.9,0.0,0.67
2026-02-04 14:55:33.716338,42.1,43.2,0.0,0.67
2026-02-04 14:55:36.934506,41.6,43.6,0.0,0.67
2026-02-04 14:55:39.795179,41.1,44.0,0.0,0.67
2026-02-04 14:55:42.969093,40.6,44.5,0.0,0.67
2026-02-04 14:55:45.763997,40.1,44.9,0.0,0.67
2026-02-04 14:55:48.805164,39.6,45.4,0.0,0.67
2026-02-04 14:55:51.774634,39.1,45.9,0.0,0.67
2026-02-04 14:55:54.757563,38.7,46.9,0.0,0.67
2026-02-04 14:55:57.741202,38.5,47.2,0.0,0.67
2026-02-04 14:56:00.897164,38.1,50.7,0.0,0.67
2026-02-04 14:56:03.735204,37.7,55.6,0.0,0.67
2026-02-04 14:56:06.724872,37.4,57.3,0.0,0.67
2026-02-04 14:56:09.830022,38.8,64.9,0.0,0.67
2026-02-04 14:56:12.774429,42.4,67.2,0.0,0.67
2026-02-04 14:56:15.742322,46.1,61.8,0.0,0.67
2026-02-04 14:56:18.738843,48.1,60.5,0.0,0.67
